Artists,Album,Genre,Lyrics,Mood,MoodValue
Aswad,Your Recipe,Ska,Girl love looking Come love sure Girl love looking Come love sure You bake sweetest cake I know pretty girl Come show know Your recipe girl fine fine fine Don really want make mine Your recipe girl fine fine fine Yeah Don 't know I really want make mine You bake sweetest cake I know pretty girl Come show know-whoa whoa-o Your recipe girl fine fine fine yeah Don't know I really want make mine Your recipe girl fine fine fine Don 't know I really want make mine I really want make mine mine mine I really want make mine mine Girl love looking yeah Come love sure You bake sweetest cake I know,Happy,1
Jonny Lang,One Person At A Time,Christian,"This one might ever single Just something heart I hadda' sing ya I hope play radio Gimme chance let somebody know That Change world, one boy one girl One person time Well I know station's got pay bills And there's many slots fill But I'm trying bring 'em something real And FM won't, surely AM &amp; play Change world, one boy one girl One person time Change world one boy one girl One person time Sure nice go triple platinum There's guarantee ever gonna ever happen And I reach one set ears I know I've fulfilled purpose Change world, one boy one girl One person time Change world, one boy one girl One person time",Happy,1
Jennifer Lopez,We Gotta Talk,Pop,"Ooh baby, come talk Together work We gotta love thing we're talking The way looked Tells sorry You walked Whispering love When I tried hold tight You pulled away But wanted stay Instead ran away Baby, talk Let's stop playing games Don't turn away Just look straight eyes Don't try sweet talk With nasty words say Baby, real tell feel, baby Ooh baby, come talk Together work We gotta love thing we're talking The way tricked You know right, ooh You tried fix But fight Because I gave everything I give If know worth fight We gotta compromise Baby, talk And tell what's wrong Come sit next And let feel vibe Come lay head And everything right But must communicate Tomorrow could late Ooh baby, come talk Together work We gotta love thing we're talking 'Cause I love boy And I need Together make thing work To think could miss Makes wanna lose mind Talk Come on, come on, come Talk me, oh, oh, ha, ha Makes want chance baby... Ooh baby, come talk Together work We gotta love thing we're talking",Happy,1
Cowboy Mouth,Jenny Says,Rock,"I've got reason things I fear The things plague I see hear A dime's nickel nickel's none I throw Sunday sun That summer Sunday went insane You said going, instead I came I'm throwing oranges apple cart The ties bind tearing apart Jenny says turn radio Jenny says turn light Jenny says turn video You beat bring Let go, let go, let go Let go, let go, let go When world keeps coming I let go I've got reason things I say She turned toward turned away There's lots forces modern world They take toll upon modern girl I've got reason things I fear The things plague I see hear I press finger itchy trigger What small right much bigger Jenny says turn radio Jenny says turn light Jenny says turn video You beat bring Let go, let go, let go Let go, let go, let go When world keeps coming I let go I've got reason things I The dealer deals deal screwed You throw cards upon playing table My name Cain I unable I've got reason things I fear The things plague I see hear A dime's nickel, nickel's none I throw Sunday sun Jenny says turn radio Jenny says turn light Jenny says turn video You beat 'cause love Let go, let go, let go Let go, let go, let go When world coming I let go Let go, let go, let go Let go, let go, let go When world coming I let go I let go, let go, let go I let go, let go, let go I let go, let go, let go",Happy,1
Gang Starr,Mostly Tha Voice (Explicit),Hip Hop/Rap,"It's mostly tha voice, gets It's mostly tha voice, makes buck A lot rappers got flavor, got skills But voice ain't dope need Up steps one, gets done Then steps another, gets smothered That's word mother, I say moms I drop bombs, scorchin niggaz like napalm Sucka, boy, get shit Get dick I make butter hits You better change behavior, battling Gangstarr No religion could save ya My religion rap, R-A-P R-E-A-L-I-T-Y, G 'Cause I rock street kids rejoice I got mad rhymes, still So think know whole even know half You're threat myself, neither staff Not type really dance much, although I used Rather bust fresh line, get loose The blunted ill types beats Premier makes Makes girl's rear shake, let set straight Some rappers use hooks shit But took shit And took music What would remain? The voice doubt Bless soul I control When pimp mode My bank roll expands I invest man I plan, keep rap real So shit ain't fat kneel You squeal, feeling pain oral flex What oral sex, chick's next To open wide get chunk real brother Yeah, real funk real brother They get sprung recover But I diss 'em I talk em Cause sound, voice, lot em So and, niggaz right Be aware, like SWV, I'm right Waitin correct ass And follow I'll disrespect ass More Vicious Sid, crime bid I tell bitch I know I Take trip land a-far Then come back, people still know Gangstarr See I'm ladies choice 'Cause I got crazy styles, still Outro: Guru, Shug Oh shit Shug, whattup Just loungin, go shit studio (Oh yeah, let get shit You always said I could get on, need let get that) Word? Yo man I'm sayin' yo, I let get busy, youknowhatI'msayin You can't dissapointin Aight man, let's go",Happy,1
Vixen,American Dream,Electronic,"One revolution turning around, Grace pressure, make sound Our house divided, together stand One constitution, go hand hand Here's you, red yellow, black white Watch daylight turned night We're bold may seem, we're looking American dream Yes, American dream Some people hide go underground Sex issue everyday towns Trading secrets dealing lies Living easy close eyes Here's you, red yellow, black white Join daylight, return night We're bold may seem, we're looking American dream Here's you, red yellow, black white Join daylight, return night We're bold may seem, we're looking American dream, looking American dream, yeah Looking American dream, American dream We're bold may seem, American dream We're looking American dream...",Happy,1
Metallica,Metal Militia,Rock,"Thunder lightning, gods take revenge Senseless destruction Victims fury cowardly Running safety Stabbing harlot pay sins Leaving virgin Suicide running free Ripping tearing Oh mist madness We trying get message Metal militia Metal militia Metal militia Chained shadowed left behind Nine one thousand Metal militia sacrifice Iron clad soldiers Join conquered law land What befall The metalization inner soul Twisting turning Oh mist madness We trying get message Metal militia Metal militia Metal militia We one Fighting one cause Leather metal uniforms Protecting Joining together take world With heavy metal Spreading message everyone Come let go Oh mist madness We trying get message Metal militia Metal militia Metal militia Metal militia Metal militia Metal militia Metal militia Metal militia Metal militia Metal militia",Sad,0
Johnny Horton,The Woman I Need (Honky Tonk Mind),Country,"Oh, woman I got sweet indeed But woman I got ain't woman I need 'Cause woman I need gotta want big time Gotta like honky tonk mind If fits sit lookin' Jump we'll start things a-cookin' The night's still young there's plenty time To demonstrate powers honky tonk mind Well, there's one thing wrong every gal I know When midnight comes, hey gotta go Well, gets started I wanta unwind Gotta find gal honky tonk mind If fits sit lookin' Jump we'll start things a-cookin' The night's still young there's plenty time To demonstrate powers honky tonk mind If fits sit lookin' Jump we'll start things a-cookin' The night's still young there's plenty time To demonstrate powers honky tonk mind",Happy,1
Dixie Chicks,Hole In My Head,Country,Hole head Hole head I need boy like like hole head I need boy like like hole head Let's say instead Wild goose chase Wild goose chase You're gonna take boy wild goose chase You're gonna take boy wild goose chase You better find somebody take place You took imagination stomped inthe ground Now I think Chasin' tracks left around Hole head Hole head Oh I need boy like like hole head I need boy like like hole head You make feel bad I wish I dead Let games begin Yeah I go I'm never gonna win It must knocked crazy It must hit hard People must think I'm lazy Like shuffle's short Of playing card Wild goose chase Wild goose chase Oh I need boy like Like wild goose chase I need boy like Like wild goose chase You better find somebody take place Let games begin Yeah I go I need boy like I need boy like I need boy like Like hole head Hole head Hole head Hole head Hole head Like hole head I need boy like I need boy like (I need boy like,Happy,1
Janis Joplin,Get It While You Can,Rock,"In world, read papers, darling, You know everybody's fighting other. You got one count on, dear, Not even brother. So someone comes along, He's gonna give love affection I'd say get can, yeah! Honey, get yeah, Hey, hey, get can, Don't turn back love, no, no! Don't know loving anybody, baby, You're taking gamble little sorrow, But cares, baby, 'Cause may tomorrow, no. And anybody come along, He gonna give love affection, I'd say get can, yeah! Hey, hey, get can, Hey, hey, get can. Don't turn back love, No no, no. Oh, get can, Honey get gonna wanna need dear, yeah yeah, Hey hey, get can, Don't turn back love, No no, no, get yeah, I said hold somebody get little lonely, dear, Hey hey, hold man's heart, Yeah, get it, want it, hold it, need it, Get it, want it, need it, hold it, Get can, Honey get can, baby, yeah, Hey hey, get can!",Happy,1
Bad Company,Simple Man,Rock,"I simple man, working land Oh ain't easy I simple man, working hands Oh believe Freedom thing means damn Oh can't fake Freedom song, sings song Oh we're gonna make I simple man, trying Oh ain't easy I simple man, trying free Oh believe Freedom thing means damn Oh can't fake Freedom song, sings song Oh we're gonna make I simple man, working land Oh ain't easy I'm simple man, working hands Oh baby, believe I'm simple man, yeah yeah Freedom thing means damn I'm simple man, yeah",Happy,1
King Diamond,Shrine (Reissue) (Album Version),Rock,"The night rising eyes Even dark I know I'm alive I burning you, Yeah know true. Voices calling night Breaking changing sleep night I see face I can't deny Darkness holy shrine The night, awake us tonight This meet The ones left behind I burning you, Yeah know true. Voices calling night Breaking changing sleep night I see face I can't deny Darkness holy shrine Voices calling night Breaking changing sleep night I see face I can't deny Darkness holy shrine The night, awake us tonight This meet The ones left behind I burning you, Yeah know true. Voices calling night Breaking changing sleep night I see face I can't deny Darkness holy shrine I burning you... I burning you...",Happy,1
Jay & The Americans,Let's Lock The Door (And Throw Away The Key),Rock,Let's lock door throw away key I can't wait kiss One little minute We met party last week And moment eyes looked mine Right I forgot speak And soda started tastin' like wine How I wished everyone would go home So I could say I got alone Come Let's lock door throw away key I can't wait kiss One little minute We started talk smiled Sorta like knew way I felt You moved little closer Then I knew heart startin' melt There much I wanted say But words came way Come Let's lock door throw away key I can't wait kiss One little minute Ah no! Oh yeah No! Oh yeah I'll kiss lips like kiss oughta And I know sayin' Come Let's lock door throw away key I can't wait kiss One little minute,Happy,1
Dilated Peoples,World On Wheels,Hip Hop/Rap,"Yo I grew Mid-City near World Wheels After Reaganomics crack came blood spill I gotta tell shorties I pop pills The ecstacy I fuck rolls Jalil No grip, straight line rhymes Like grand concourse 149 In LA riders ridge Fairfax Olympic ??? On block Ethiopians kick You'll learn Angel City'll test I move giving respect respect's due Ducking cops say serve protect And handlin biz I ain't tryin' impress It's mind matter, crew money I strategy, I act sporadically I contemplate, cat I move mathematically It's Alchemist Dilated, that's family Still couple lessons I teach How real fiends cop two The game keeping dope streets So look world wheels Still couple lessons I teach How real heads rock real beats Bangin' illest rides streets Look world wheels Peace King, peace haki, peace queen I leave 'em pieces step ring They're fumbling wondering weapon bring I'm like Ice-T, I know lethal weapon'll swing Stop presses, block doors Cops oppress us, watch wolves But friendly fire worse oppression Pressure stressin poured dead presidents Fights rights pleasure But suckers swing rulers like swords try measure While Slick Rick ruler's war INS yo I hope young fly best yo Hip-hop desert again, like Busy Bee's buzzin My patience thin though I ventilate 'em like I cracked window air like Hail Mary end zone When I'm out, I cause panic When I move stealth I made mental notes who's fam frontin Mental notes ran shit runnin' It's mind matter, crew money I strategy, I act sporadically I contemplate, cat I move mathematically Create devastate crew, that's family",Happy,1
Foo Fighters,Overdrive,Rock,"Coming down, I'm coming 'round This time I think I'm waking Give loud drown Before world starts breaking You change then, change Turning like wheel inside head Yours mine left right There's still two sides everyone You I get life And pray we'll find better one You change then, change Turning like wheel inside head Overdrive, we're going life death x3 Two strangers mend Overdrive, we're going life death x2 Hurry we're getting This time there's nothing stopping us Leave behind vacant town Tonight, let turn rust You change then, change Turning like wheel inside head Overdrive, we're going life death x3 Two strangers, relation, mend You change then, change Turning like wheel inside head You change then, change Turning like wheel inside head Coming down, I'm coming 'round This time I think I'm waking Give loud drown Before world starts breaking You change then, change Turning like wheel inside head Overdrive, we're going life death x3 Two strangers the... Overdrive, we're going life death x5 Two strangers, relation x2 On mend",Sad,0
Akon,Don't Matter,R&B,"Oh-oh Oh-oh woo-oh Oh-oh Oh-oh woo-oh Nobody wanna see us together But matter, Nobody wanna see us together But matter, 'Cause gon' fight Oh yes, gon' fight Believe gon' fight Fight right love, yeah Nobody wanna see us together But matter, Nobody wanna see us together Nobody thought we'd last forever I feel I'm hopin' prayin' Things us don' get better Men steady comin' Women steady comin' Seem, like everybody wanna go self And wanna respect boundaries Tellin' lies Just get side But I must admit couple secrets I held inside But know I tried To always apologize And I'mma first always heart To keep satisfied Nobody wanna see us together But matter, Nobody wanna see us together But matter, 'Cause gon' fight Oh yes, gon' fight Believe gon' fight Fight right love, yeah Nobody wanna see us together But matter, Got every right wanna leave Got every right wanna go Got every right hit road And never talk You even call Even check 'Cause way I actin' lately Has wall Especially towards Puttin' girls And watchin' everything I doin' Just hurt Most ain't ain't true And show How much queen And I love you, baby Nobody wanna see us together But matter, Nobody wanna see us together But matter, 'Cause gon' fight Oh yes, gon' fight Believe gon' fight Fight right love, yeah Nobody wanna see us together But matter, Oh-oh Oh-oh woo-oh Oh-oh Oh-oh woo-oh Ooh Ooh Nobody wanna see us together But matter, Nobody wanna see us together But matter, 'Cause gon' fight Oh yes, gon' fight Believe gon' fight Fight right love, yeah Nobody wanna see us together But matter, Nobody wanna see us together But matter, Nobody wanna see us together But matter, 'Cause gon' fight Oh yes, gon' fight Believe gon' fight Fight right love, yeah Nobody wanna see us together But matter, Oh-oh Oh-oh woo-oh Oh-oh Oh-oh woo-oh",Happy,1
Slipknot,Gently (Album Version),Hip Hop/Rap,"Gently, mind escapes relaxing world pleasure... A pleasure take mind reality life... My past life... Life I know now! And whatever may come, slowly disappears! To somewhere back mind... It remain there... 'til I wish retrieve it! Yeah! Yes, I stay awhile, I need break! A break pressures life! And everything lays palm life's hands! Life's hands! Yeah! This mode incredible! It's world! Too bad I must always leave it... That's life Yeah! That's life Yeah! That's life Yeah! That's life Yeah! Yes... Yes... Yes... Yes",Sad,0
The Ataris,I Won't Spend Another Night Alone,Rock,"Unfortunately, licensed display full lyrics song moment. Hopefully able future. Until then... random page?",Sad,0
Chris Brown,I Love U,R&B,"I know I Love I know I love Ooh baby Baby I know drive crazy And every time I'm around girl feels amazing And I'm best behavior I'm baby 'Cause I can't lose baby... I done met lot girls life like No I done best, Baby best best You're greatest. I know I love I know I love I know I love I know I love Ooh Baby Baby When gone I think baby I'm gone loving I know Maybe way love me, hold me, kiss Cause Baby I... I done met lot girls life like No I done best, Baby best best You're greatest. I know I love I know I love I know I love I know I love Ooh baby Whatever is... I'm satisfied I want ever change Cause Baby got that's lie I'ma stay right baby I know I know I love I know I love I know I love I know I love Ooh baby...",Happy,1
Dropkick Murphys,Going Strong (Album Version),Rock,"There's brand new century begin kids Of 90's paving' path, youth America Free last violence destruction destroyed name Whenever trouble took blame But scene's alive new generation American kids We work hard lets enjoy fruits we've done, tomorrow may never come The kids street say - We've enough negative comparisons new breed kids Brought together movement sense tradition strong survive And together backs never broken cause scene's alive With new generation American kids We work hard lets enjoy fruits we've done, tomorrow may never come The kids street say -",Happy,1
BeyoncÃ©,Single Ladies (Put A Ring On It),R&B,"All single ladies All single ladies All single ladies All single ladies Up club , broke I'm little thing You decided dip wanna trip 'Cause another brother noticed I'm , Don't pay attention 'Cause I cried tears , gave ya three good years You can't mad 'Cause like it, put ring If like it, put ring Don't mad see want 'Cause like it, put ring Oh-oh-oh, oh-oh-oh, oh-oh Oh, oh-oh-oh Whoa-oh-oh, oh-oh-oh, oh Oh-oh, oh-oh-oh 'Cause like it, put ring If like it, put ring Don't mad see want If like it, put ring I got gloss lips , man hips And tighter Deréon jeans Actin' , drank cup I care less think I need permission, I mention Don't pay attention 'Cause turn , gon' learn What really feels like miss B 'Cause like it, put ring If like it, put ring Don't mad see want 'Cause like it, put ring Oh-oh-oh, oh-oh-oh, oh-oh Oh, oh-oh-oh Whoa-oh-oh, oh-oh-oh, oh Oh-oh, oh-oh-oh If like it, put ring If like it, put ring Don't mad see want If like it, put ring Oh-oh-oh, oh-oh-oh, oh-oh Oh, oh-oh-oh Whoa-oh-oh, oh-oh-oh, oh Oh-oh, oh-oh-oh Don't treat things world Your love I prefer, I deserve Is man makes me, takes And delivers destiny, infinity beyond Pull arms, say I'm one want If don't, alone And like ghost, I'll gone All single ladies All single ladies All single ladies All single ladies Oh-oh-oh, oh-oh-oh, oh-oh Oh, oh-oh-oh Whoa-oh-oh, oh-oh-oh, oh Oh-oh, oh-oh-oh Whoa-oh-oh 'Cause like it, put ring If like it, put ring Don't mad see want If like it, put ring Whoa-oh-oh 'Cause like it, put ring If like it, put ring Don't mad see want If like it, put ring Oh-oh-oh",Sad,0
Belle and Sebastian,I Could Be Dreaming,Rock,"I could sleeping I could dreaming I could ordinary people chasing town town Mission Impossible They've got spy every blink eye I'm feeling awkward I'm feeling tongue-tied They've got knife every time take train work A family's like loaded gun You point wrong direction someone's gonna get killed If dream Would get things believed in? Is husband? Or boyfriend? Is moron who's beating keeping inside? I've never done kind thing But I kill now, well who's going miss him? I went school I took walk Castlehill For every step local boy wants hero Do wanna now? Outside butcher's knife bike chain If dream Would get things believed in? If dream Would get things? If dream Would get things? While head clear While head clear While head clear While head clear Woman speaking background : ""Times grew worse worse Rip Van Winkle years matrimony rolled on; tart tempter never mellows age, sharp tongue edge tool grows keener constant use. For long used console himself, driven home, frequenting kind perpetual club sages, philosophers, idle personages village, held sessions bench small inn, designated rubicund portrait majesty George Third. Here used sit shade, long lazy summer's day, talking listlessly village gossip, telling endless sleepy stories nothing. But would worth statesman's money heard profound discussions sometimes took place, chance old newspaper fell hands, passing traveller. How solemnly would listen contents, drawled Derrick Van Bummel, schoolmaster, dapper learned little man, daunted gigantic word dictionary...""",Sad,0
Tom Petty,Wildflowers (Album Version),Rock,"Unfortunately, licensed display full lyrics song moment. Hopefully able future. Until then... random page?",Sad,0
Annie Lennox,A Whiter Shade Of Pale,Pop,We skipped light Fandango Turned cartwheels 'cross floor I feeling kind seasick But crowd called The room humming harder As ceiling flew away When called another drink The waiter brought tray And later As Miller told tale That face first ghostly Turned whiter shade pale She said reason And truth plain see But I wandered playing cards And would let One sixteen vestal virgins Who leaving coast And although eyes open They might well've closed And later As Miller told tale AThat face first ghostly Turned whiter shade pale And later As Miller told tale That face first ghostly Turned whiter shade pale A whiter shade pale Turneda whiter shade pale A whiter shade pale,Happy,1
Blink-182,All Of This,Rock,"With I know Everything inside head It goes show Nothing I know changes Again I waited change instead To tear world two Another night But I'm always wanting Use Holly come use We know go Use Holly come use We go know With I feel Everything inside heart It seems Nothing I feel pulls Again I waited pull apart To break time two Another night But I'm always wanting Use Holly come use We know go Use Holly come use We go know She's I need She's I dream She's I'm always wanting She's I need She's I dream She's I'm always wanting I'm always wanting I'm always wanting Use Holly come use We know go Use Holly come use We go know She's I need She's I dream She's I'm always wanting She's I need She's I dream She's I'm always wanting And I wait To fill hole, shake sky two Another night I'm always wanting Another night But I'm always wanting",Sad,0
Dimmu Borgir,The Chosen Legacy,Rock,Hence I anoint And whisper wholeheartedly The creed Hades beyond As I succumb inevitable sin For I cannot enslave With imaginary words salvation The hypocrisy surrounds temple Is assisted pretenders throne The winds blow purity Signify chosen legacy I born opposition A contender creation In Sorte Diaboli In Sorte Diaboli In Sorte Diaboli In Sorte Diaboli For sins I ask forgiveness For sins They forgive So never speak quietly Stand confession I voice rebellion Against traitor world I first creature kingdom I one To live time With triumph free,Happy,1
Shakira,Donde Estas Corazon,Pop,"¿dónde estás corazón? ayer te busqué entre el suelo el cielo, mi cielo te encontré puedo pensar que huyes de mí porque en mi silencio una corazonada dice que sí ¿dónde estás corazón? ven regresa por mí que la vida se vuelve un ocho si estás aquí quiero pensar que tardarás porque en el planeta existe mas nadie quien pueda yo amar ¿dónde estás corazón? ayer te busqué ¿dónde estás corazón? te encontré ¿dónde estás corazón? saliste de aquí hay buscando quien sabe que cosas tan lejos de mí puedo pensar, vuelvo pensar que tardarás porque en el planeta existe mas nadie quien pueda yo amar ¿dónde estás corazón? ayer te busqué ¿dónde estás corazón? te encontré te busqué en el armario, en el abecedario debajo del carro, en el negro, en el blanco en los libros de historia en las revistas en la radio te busqué por las calles en donde tu madre en cuadros de Botero en mi monedero en dos mil religiones te busqué hasta en mis canciones ¿dónde estás corazón? ayer te busqué ¿dónde estás corazón? te encontré te busqué en el armario, en el abecedario debajo del carro, en el negro, en el blanco en los libros de historia en las revistas en la radio te busqué por las calles, en donde tu madre en cuadros de Botero, en mi monedero en dos mil religiones te busqué hasta en mis canciones Translation: Where Love? Yesterday I looked you... floor, sky, Dearest... I find you. I can't think hiding Because silence sincere... It says 'yes' Where Love? Come, return me... life knots like eight... here.. I want think... falter... planet, one else exists I could love. Chorus: Where Love? I looked yesterday WHere Love? And I find Where Love? You left here.. Looking who-knows what... far me... I think.... continue think... falter planet.. one else exists... I could possibly love. I looked wardrobe In phone book car black white History books magazines radio. I searched streets You're Mother's A bootmaker's stand In change purse In two thousand religions I've even looked songs",Happy,1
Petra,Hollow Eyes (Beat The System Album Version),Christian,"Another day Nigeria children beg bread, The crops failed, well ran dry When lost watershed A baby dies, mother cries, children gather 'round They're wondering day bring Will next one found? Do dare gaze hollow eyes, hollow eyes? Are staring holes hollow eyes, Hollow eyes, hollow eyes? In crowded sheds children lay heads To escape Haitian heat The hunger pains drive street Wond'ring today they'll eat Some find food refuse heap, others find disease Some find harder live die ease. The least hungry. The least sick. The least needs clothing. The least needs drink. The least knows sorrow. The least knows grief. The least suffered pain, Jesus His name. Do dare gaze His hollow eyes, hollow eyes? Is He staring back His hollow eyes, Hollow eyes, hollow eyes?",Sad,0
James Taylor,Down In The Hole,Rock,"Watch head root Got let eyes adjust I'm sorry suit Can't nothing dust Welcome underground Hunker spell Gets feel like home Though I know looks like hell Down hole Lord, deep sides steep And nights long cold Down hole Light love world Mean nothing mole Never gets real hot Fifty five degrees It's always little bit damp, I fear But I've never seem freeze Mushrooms earthworms Fancy stuff eat A world quiet contemplation Just street Down hole Lord, deep sides steep And nights long cold Down hole Light love world Mean nothing mole I'm hole Since I lost baby Living hole Since I lost girl Would play moonlight Would dance dirt Come home way past daybreak Cockleburs stuck shirt Come back home twilight Come back home Subterranean river Meets molten sea Down hole Lord, deep sides steep And nights long cold Down hole Light love world They show nothing mole Down hole Light love world Got nothin' mole Ain't got nothin' For mole Look Look Look root Look root Welcome underground Welcome",Happy,1
Soulwax,Soul Simplicity,Rock,Try You heard Standing I agree Before crushed This call Soul Simplicity No need rush This soul new identity Can't You See Why mean I Feel You No one gets Stop competing God Come On knees I Feel Whisper,Sad,0
Sister Hazel,Come Around (Acoustic),Rock,Sky fell pulled us Stole away oxygen And left standin' breathless The ocean wrapped around sun The smell June - taste tongue Was I'd ever need I - well I wanna clear Well I needed And I'm waiting But - clue And I'd drive right To find anywhere Sky fell pulled us Stole away oxygen And left standin' breathless The ocean wrapped around sun The smell June - taste tongue Was I'd ever need But - keep waiting For sun come around And - keep waiting For something better - better come around You - well wanted time So I gave time Oh I sun waits come around Oh restless soul Where's next best thing While I waited All life waited come around Come around Come around - come around You're better come around Come around - come around,Happy,1
The Strokes,Between Love & Hate,Rock,"Watched wiped eyes You make sorry Now I know That never listened Listen Thinking high school dance Worrying finals Yes I know You're feeling lonely Oh lonely, lonely Never needed anybody I never needed anybody I never needed anybody I never needed nobody Don't worry it, honey I never needed anybody I never needed anybody It change Am I wrong? Don't sing along I said I fine It's second time lost war She'd kitchen I would start fire Oh, days gone But know, I can't give Give P.S. I may ask When get tired We stayed All night trying Trying Never needed anybody I never needed nobody I never needed anybody I never needed anybody Don't worry it, honey I never needed anybody I never needed anybody It change Am I wrong? Don't sing along I said I fine The second time lost war And end",Sad,0
Britney Spears,My Prerogative,Pop,"People take everything away But never take away truth But question Can handle mine? They say I'm crazy I really care That's prerogative They say I'm nasty But I give damn Getting boys I live Some ask questions Why I real? But understand I really know truth sister Trying hard make right Not long ago I fight Everybody's talkin' stuff Why let live? I need permission, make decisions That's prerogative That's prerogative It's way I wanna live You can't tell Don't get wrong I'm really souped Ego trips thing All strange relationships Really gets I see nothing wrong spreading around Everybody's talkin' stuff Why let live? I need permission, make decisions That's prerogative That's prerogative Everybody's talkin' stuff Why let live? I need permission, make decisions That's prerogative That's prerogative It's way I wanna live They can't tell Why can't I live life? Without things people say? Ohoho Everybody's talkin' stuff Why let live? I need permission, make decisions That's prerogative Everybody's talkin' stuff Why let live? I need permission, make decisions That's prerogative",Sad,0
Cockney Rejects,Oi! Oi! Oi!,Rock,"Hear cry throughout streets, know means And even ignorant, 'aignt seems Through every city backstreets, kids around They come join fun, 'cause know sound They try ignore us, let 'em win The wankers try put us down, smash 'Cause say, they're full shit And we're running backstreets Oi! Oi! Oi! And we're running unafraid Oi! Oi! Oi! 'Cause know that's sound streets And we're running backstreets Oi! Oi! Oi! Got martins feet Oi! Oi! Oi! And running backstreets The kids come everywhere, east end's around 'Cause know means, hear sound You know do, hear call Put boots earrings on, kick fucking wall You listen politicians, they'll lead astray You're gonna see light gonna see way And know there's nothing like us And we're running backstreets Oi! Oi! Oi! And we're never giving Oi! Oi! Oi! 'Cause know we're gonna fucking win And we're running backstreets Oi! Oi! Oi! And we're stay Oi! Oi! Oi! And know firm they're way They try ignore us, let 'em win The wankers try put us down, smash 'Cause say, they're full shit And we're running backstreets Oi! Oi! Oi! And we're running unafraid Oi! Oi! Oi! 'Cause know that's sound streets And we're running backstreets Oi! Oi! Oi! Got martins feet Oi! Oi! Oi! And running backstreet me, With me.",Happy,1
Billie Jo Spears,What I've Got In Mind,Country,"There's million things could evenin' With night life silver screen Oh, we've got time could take town Or take fast jet, baby, New Orleans But I've got mind small cafe Out way Oh, baby, let's stay No late What I've got mind disappear Or maybe stay right Oh, tell truth I've got mind Is makin' love Well, I confess find guilty I'm selfish lover I can't deny But I love I want share With night lights darlin', another's eyes But I've got mind small cafe Out way Oh, baby, let's stay No late What I've got mind disappear Or maybe stay right Oh, tell truth I've got mind Is makin' love Oh, tell truth I've got mind Is makin' love",Happy,1
UFO,Out In The Street,Rock,"Lady love hang Played like real intellectual Sweet sister still shaking And tragedy never ending Silver shoes wearing Every window ever stared Over head Over head Sidewalks city Every theater ever played Your comic book impersonations Louise Fazenda Buster Keaton Over head, Out street one matinee Yes, vaudeville carries So put smile front man see Yes, vaudeville carries Out street one matinee Yes, vaudeville carries So put smile front man see Yes, vaudeville carries Lady love hang Played like real intellectual Sweet sister still shaking And tragedy never ending Silver shoes wearing Every window ever stared Over head Over head",Happy,1
Busta Rhymes,Genesis,Hip Hop/Rap,"Genesis, Genesis Genesis, Genesis Genesis, Genesis Genesis, Genesis I'd like introduce motha fuckin' new millennium bounce Oh! We come give Operating like official Yeah! We come multiply And we're plannin scheme long run Yeah! Our shit always right Every move see related Genesis, Genesis, Genesis Genesis, Genesis, Genesis While continuously stay sculpturin bombs Love unconditional greetings opening arms And worthy niggaz I'ma die tryin' y'all With blessing angel's tear cryin' y'all Back foundation, takin' back started With whole new beginnin brand new hunger Starvin skin suffocatin ribs Now got bitches interior decoratin crib Touch love I got like holdin' heart hand And watch manifesto, shit part plan The fashion I choose deal shit Sometimes hard describe passion I feel shit How many struggles I survived eat meal Never thought y'all meet nigga could real Flipmode bitch let make aware Too late turnin' back nigga 'cause takin' Genesis, Genesis, Genesis And leave! And leave mark deep floor Y'all niggaz fucked never let let get feet door And I step through, FUCK wipin feet door I deacon I'm beatin' niggaz speakin' raw Strictly raw shit niggaz seekin' Testin strength, that's devil's try weaken C'mon, yes y'all next step... sure Rep make wanna accept Niggas analyze jewel I reveal rhyme I'm like somethin' evolved million times Peep display new features The way really doin' it, mu'fuckas probably believe us Flipmode Squad means, pledge allegiance With great feelin' people like comin' Jesus While lot niggaz tellin' nothin' That bullshit that's always pushin buttons Godly rep undeniable force You like weak preacher, swearin smacked dead cross Kick niggaz like two back legs horse Chop ya fingers tryin' put hands sauce Sometimes I think would best run And favor, cause got whole life ahead son! A whole new thang startin Smell much ass spot, beat got world fartin When I spit know I always love garnish hard While love-it hate-it niggaz trying tarnish God I know dudes would love bring hatred y'all While I continue bless shit that's sacred y'all Even I bend place I always put rep niggaz genuine place From street corner niggaz live niggaz everywhere Too late turning back, takin' Genesis",Happy,1
To My Surprise,Easy or Not (Album Version),Rock,I know I'm one problems And girl help solve What I got You know Easy You're I've got You're girl Who says easy live Easy I appreciate shot And I know deep inside meant I know I've swimming around head Defeating beating things we've said What got We know Easy You're I've got You're girl Who says easy live Easy I appreciate shot And I know deep inside meant Your world ground feet No way I'm giving seat I may finally know I've got 'Cause always best shot You're little girl rules world I know got hard pill swallow But I see walk I get stars eyes Together hard act follow You're girl Who says easy live Easy I appreciate shot And I know deep inside meant Yeah Tired teaching lessons,Happy,1
